ETH-BTC	2018-01-04T23:57:31.925000Z	0.06248
BTC-USD	2018-01-05T03:42:51.768000Z	14999
LTC-USD	2018-01-05T00:56:38.424000Z	238.21
ETH-USD	2018-01-05T01:43:45.763000Z	970.24
LTC-USD	2018-01-05T00:45:17.351000Z	237.35
ETH-USD	2018-01-05T01:27:24.309000Z	972.77
ETH-USD	2018-01-05T00:07:02.432000Z	942.64
BTC-USD	2018-01-05T01:33:41.356000Z	15050.02
LTC-USD	2018-01-05T02:38:20.263000Z	244.99
LTC-USD	2018-01-05T03:14:30.218000Z	242.5
BTC-USD	2018-01-05T04:17:18.372000Z	15009.99
LTC-BTC	2018-01-05T04:06:31.192000Z	0.01609
ETH-USD	2018-01-05T03:05:05.060000Z	983.37
BTC-USD	2018-01-04T23:54:28.092000Z	15150
ETH-USD	2018-01-05T00:28:41.016000Z	949.4
ETH-USD	2018-01-05T04:24:37.665000Z	995
LTC-BTC	2018-01-05T01:08:42.763000Z	0.01578
LTC-BTC	2018-01-05T03:01:30.431000Z	0.01619
ETH-USD	2018-01-05T02:09:50.899000Z	973.1
ETH-USD	2018-01-04T23:39:27.558000Z	957
BTC-USD	2018-01-05T03:43:49.835000Z	14998.99
ETH-USD	2018-01-05T01:56:01.787000Z	971.5
ETH-USD	2018-01-05T03:49:41.882000Z	982.51
ETH-USD	2018-01-04T23:53:45.781000Z	948.03
BTC-USD	2018-01-05T03:30:24.022000Z	15012.24
ETH-USD	2018-01-05T01:44:16.967000Z	968.99
ETH-USD	2018-01-05T01:32:39.710000Z	973.55
BTC-USD	2018-01-05T03:09:11.867000Z	15060.51
BTC-USD	2018-01-05T04:29:53.754000Z	14835.73
ETH-USD	2018-01-05T03:34:47.564000Z	978.92
LTC-USD	2018-01-05T02:14:55.668000Z	242
ETH-USD	2018-01-05T04:07:44.216000Z	992
BTC-USD	2018-01-05T03:25:33.711000Z	15017.23
ETH-USD	2018-01-05T02:50:38.655000Z	979.3
LTC-USD	2018-01-05T02:44:34.091000Z	246.31
ETH-USD	2018-01-05T01:23:39.637000Z	972
ETH-BTC	2018-01-05T00:00:47.883000Z	0.06215
LTC-USD	2018-01-05T00:27:08.332000Z	237.21
LTC-BTC	2018-01-05T01:07:47.597000Z	0.01579
BTC-USD	2018-01-05T00:45:44.442000Z	15065.64
BTC-USD	2018-01-05T03:22:08.713000Z	15031.75
ETH-USD	2018-01-05T01:25:33.886000Z	972.85
BTC-USD	2018-01-04T23:59:12.181000Z	15129.01
BTC-USD	2018-01-04T23:51:08.321000Z	15050
ETH-USD	2018-01-05T02:01:40.456000Z	973.1
BTC-USD	2018-01-05T02:57:46.577000Z	15125.9
ETH-BTC	2018-01-05T03:58:15.082000Z	0.06631
ETH-BTC	2018-01-05T01:43:09.544000Z	0.06435
BTC-USD	2018-01-05T00:06:55.710000Z	15070.02
ETH-USD	2018-01-05T01:51:30.415000Z	967.88
BTC-USD	2018-01-05T04:34:06.906000Z	14850
ETH-USD	2018-01-05T02:24:32.476000Z	973.94
ETH-USD	2018-01-05T04:26:17.187000Z	996
LTC-BTC	2018-01-05T00:53:48.249000Z	0.01579
LTC-BTC	2018-01-05T00:06:38.227000Z	0.01584
BTC-USD	2018-01-04T23:52:56.261000Z	15145.61
ETH-USD	2018-01-05T03:21:18.137000Z	979.45
BTC-USD	2018-01-05T03:13:00.688000Z	15034.51
BTC-USD	2018-01-05T02:17:43.346000Z	15147.96
LTC-USD	2018-01-05T04:12:49.399000Z	242.57
BTC-USD	2018-01-05T00:44:11.603000Z	15036.64
BTC-USD	2018-01-05T00:23:24.985000Z	15000
ETH-USD	2018-01-05T03:26:22.916000Z	978.6
BTC-USD	2018-01-05T04:35:56.118000Z	14847.96
BTC-USD	2018-01-05T02:54:09.224000Z	15120.02
ETH-USD	2018-01-05T03:05:16.709000Z	983.4
LTC-USD	2018-01-05T03:01:42.260000Z	245.12
ETH-USD	2018-01-05T00:03:49.410000Z	942.63
LTC-USD	2018-01-05T00:14:58.318000Z	238.76
ETH-USD	2018-01-05T04:24:35.753000Z	995
ETH-USD	2018-01-05T01:44:51.759000Z	967.64
LTC-USD	2018-01-05T02:05:01.513000Z	240.81
BTC-USD	2018-01-05T01:25:41.989000Z	15070.32
ETH-USD	2018-01-05T03:15:21.760000Z	984.48
ETH-USD	2018-01-05T01:48:51.283000Z	967.84
LTC-USD	2018-01-05T03:47:12.746000Z	242
LTC-BTC	2018-01-05T03:58:12.379000Z	0.01612
BTC-USD	2018-01-05T02:24:07.250000Z	15150.99
BTC-USD	2018-01-05T03:59:59.723000Z	14959
ETH-USD	2018-01-05T03:19:28.578000Z	979.15
BTC-USD	2018-01-04T23:59:00.670000Z	15129.01
LTC-BTC	2018-01-05T00:12:35.233000Z	0.01583
LTC-USD	2018-01-05T03:11:35.263000Z	243.95
ETH-USD	2018-01-05T02:17:43.422000Z	973.02
LTC-USD	2018-01-05T01:14:11.851000Z	237.31
ETH-USD	2018-01-05T03:40:23.884000Z	982.49
ETH-BTC	2018-01-05T03:08:01.325000Z	0.06564
LTC-USD	2018-01-05T01:16:43.887000Z	236.98
LTC-BTC	2018-01-05T02:07:16.238000Z	0.01596
ETH-USD	2018-01-05T03:27:25.949000Z	979
LTC-USD	2018-01-05T04:10:54.147000Z	242.55
ETH-USD	2018-01-05T00:35:01.042000Z	949.99
LTC-USD	2018-01-05T00:05:52.669000Z	239.35
ETH-USD	2018-01-05T02:53:01.613000Z	979.48
ETH-USD	2018-01-05T04:28:29.062000Z	993.84
ETH-USD	2018-01-05T03:20:29.756000Z	977.95
BTC-USD	2018-01-05T03:16:10.035000Z	15005.37
ETH-USD	2018-01-05T04:28:44.945000Z	979.76
ETH-USD	2018-01-05T03:19:00.049000Z	980.79
ETH-BTC	2018-01-05T02:40:17.836000Z	0.06445
LTC-USD	2018-01-05T02:55:35.197000Z	245.27
ETH-BTC	2018-01-05T02:58:16.316000Z	0.06488
ETH-USD	2018-01-05T03:13:46.374000Z	984.49
LTC-BTC	2018-01-05T01:07:08.482000Z	0.0158
ETH-USD	2018-01-05T03:22:40.207000Z	980.52
BTC-USD	2018-01-05T00:12:55.980000Z	15033.05
LTC-USD	2018-01-05T03:33:31.492000Z	241.31
